track_id,time,lon,lat,year,month,day,hour,minute,second
Helene,2024-09-23 12:00:00,278.3,17.2,2024,9,23,12,0,0
Helene,2024-09-23 18:00:00,278.1,17.8,2024,9,23,18,0,0
Helene,2024-09-24 00:00:00,277.8,18.2,2024,9,24,0,0,0
Helene,2024-09-24 06:00:00,277.2,18.6,2024,9,24,6,0,0
Helene,2024-09-24 12:00:00,276.3,19.2,2024,9,24,12,0,0
Helene,2024-09-24 18:00:00,275.4,19.4,2024,9,24,18,0,0
Helene,2024-09-25 00:00:00,274.8,19.7,2024,9,25,0,0,0
Helene,2024-09-25 06:00:00,274.1,20.3,2024,9,25,6,0,0
Helene,2024-09-25 12:00:00,273.8,21.1,2024,9,25,12,0,0
Helene,2024-09-25 18:00:00,273.5,22.0,2024,9,25,18,0,0
Helene,2024-09-26 00:00:00,273.3,22.8,2024,9,26,0,0,0
Helene,2024-09-26 06:00:00,273.5,23.6,2024,9,26,6,0,0
Helene,2024-09-26 12:00:00,274.2,24.7,2024,9,26,12,0,0
Helene,2024-09-26 18:00:00,275.0,26.6,2024,9,26,18,0,0
Helene,2024-09-27 00:00:00,275.7,28.7,2024,9,27,0,0,0
Helene,2024-09-27 03:10:00,276.3,30.0,2024,9,27,3,10,0
Helene,2024-09-27 05:00:00,276.5,30.8,2024,9,27,5,0,0
Helene,2024-09-27 06:00:00,276.7,31.3,2024,9,27,6,0,0
Helene,2024-09-27 09:00:00,276.9,32.9,2024,9,27,9,0,0
Helene,2024-09-27 12:00:00,276.8,34.4,2024,9,27,12,0,0
Helene,2024-09-27 18:00:00,275.1,36.8,2024,9,27,18,0,0
Helene,2024-09-28 00:00:00,273.4,38.1,2024,9,28,0,0,0
Helene,2024-09-28 06:00:00,271.9,37.4,2024,9,28,6,0,0
Helene,2024-09-28 12:00:00,272.4,36.6,2024,9,28,12,0,0
Helene,2024-09-28 18:00:00,273.0,37.1,2024,9,28,18,0,0
